source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,¿Alguien ha visto lo ocurrido a este coche en la Lameiriña el pasado domingo? - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9105,2025-05-19,1781,,2025-05,2025
Carriola de Marín,El Concello tramita la concesión de licencia para la construcción de un edificio de 26 viviendas en A Cañota - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9055,2025-05-10,1717,"Parece que se reactiva la construcción de viviendas en el término municipal marinense, actividad paralizada desde hace mucho tiempo en que no se ve una grúa de construcción en todo el casco urbano. En este momento, la empresa “Álvarez y Ogando Promociones S.L. es la que solicita el permiso para levantar una edificación en el entorno de A Cañota",2025-05,2025
Carriola de Marín,Fallece Doña MARÍA DEL CARMEN ARCA BARREIRO  a los 54 años de edad - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9151,2025-05-28,1709,"La funerariaLA FEcomunica el fallecimiento HOY día28de mayo de doñaMARÍA DEL CARMEN ARCA BARREIROcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número1,hasta el momento de su traslado,MAÑANA JUEVESdía29de mayo a lasSEIS Y MEDIAde la tardea la iglesia parroquial deSan Cristóbal de Briallosdonde a las siete y cuarto se oficiará la Misa funeral por el descanso de su alma y, a continuación, al cementerio de dicha feligresía para su inhumación. D.E.P.",2025-05,2025
Carriola de Marín,La tricentenaria capilla de San Diego en “O Pereiro” acoge hoy la fiesta religiosa en honor al franciscano - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9070,2025-05-11,1703,"Imagen de San Diego, obra inconfundible del escultor marinense Xan Martínez Hermida",2025-05,2025
Carriola de Marín,ULTIMA HORA: Ángela Balado triunfa en Bulgaria consiguiendo la medalla de oro de la “President Cup European” de Taekwondo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9092,2025-05-17,1553,,2025-05,2025
Carriola de Marín,El grupo “Trompos ós Pes” envía a sus “cantareir@s” a Suiza para actuar en el Centro Gallego de Ginebra - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9129,2025-05-24,1317,"Alberto Lago en este, que es uno más de los numeroso viajes de promoción de nuestro folclore en Suiza, acompaña a l@s cantareira@s que acuden a la velada que organiza la“Asociación A Nosa Galiza”de aquella ciudad suiza",2025-05,2025
Carriola de Marín,El boxeo llenó ayer el pabellón del SEI San Narciso durante todo el día y el Open Marín continuarà dos jornadas más - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9006,2025-05-02,1277,"Tal como anunciaba ayer el “Team Thunder” organizador del “Open Internacional Villa de Marín” de boxeo, ayer el pabellón del colegio San Narciso fue un hervidero de deportistas y espectadores.",2025-05,2025
Carriola de Marín,San Narciso de Marín se proclama campeón de las Olimpiadas SEI celebradas en Madrid este fin de semana - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9134,2025-05-24,1271,Un numeroso grupo de alumnos y alumnas delColegio SEI San Narcisode Marín se desplazó este fin de semana para participar en las denominadas “Olimpiadas SEI” consistentes en una serie de pruebas de conocimientos y actividades deportivas en las que participaron junto a otros colegios españoles en una jornada especialmente cargada de sana competencia y mejor ambiente de deportividad.,2025-05,2025
Carriola de Marín,ULTIMA HORA: Ángela Balado Consigue la medalla de bronce de nivel mundial en el campeonato disputado en Emiratos Árabes - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9081,2025-05-13,1267,"La jovencísima taekwondista del Mat´s, Ángela Balado ha conseguido encaramarse al podio mundial de este deporte al conseguir lamedalla de broncecon todo merecimiento después de vencer en los enfrentamiento a Arabia Saudí, Brasil y Grecia lo que le dio el pase a las semifinales en las que se hizo con la tercera de las preseas con lo que, a partir de ahora, su nombre será conocido en todos los países donde se practica este deporte.",2025-05,2025
Carriola de Marín,Cantodarea celebra hoy su fiesta patronal tras haber suspendido los actos de ayer por el mal tiempo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/8998,2025-05-01,1265,"La Parroquia de San Xosé de Cantodarea celebra hoy la festividad de San Xosé Obreiro con los principales actos centrados en la Misa Solemne que tendrá lugar a las 12 horas en el templo parroquial y la procesión que, si el tiempo lo permite, saldrá a las siete de la tarde",2025-05,2025
Carriola de Marín,CARRIOLA DA OPINIÓN: Respondendo ás críticas do BNG - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9118,2025-05-12,1249,"Datos, nomes e evidencias de que a nosa lingua foi a protagonista da Vila do Libro",2025-05,2025
Carriola de Marín,Jimena Novegil y el grupo audiovisual del colegio Inmaculada premiados por sus respectivos trabajos - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9071,2025-05-12,1215,El CPR La Inmaculada vivió una semana inigualable demostrando todo el talento queatesorasu alumnado. Y es que no hay mayor orgullo que vivir y disfrutar de los éxitos dejóvenesque empiezana despegarde cara a su propio futuro.,2025-05,2025
Carriola de Marín,La joven marinense Ángela Balado ya viaja hacia los Emiratos Árabes para participar en el Mundial cadete de Fujairah - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9060,2025-05-10,1204,"Ángela Balado (+59, Mat´s), taekwondista marinense de la categoría cadete perteneciente al Club Mat´s ya se encuentra de viaje hacia los Emiratos Árabes en compañía de otros dos deportistas gallegos,Arianna Deibe (-51, Kwon) e Dani Abeijón (-41, Natural)Galicia cuenta en la selección española con estos tres taekwondistas que la próxima semana disputarán el Mundial Cadete de Fujairah en los Emiratos Árabes lo que constituye un notable éxito ya que son la federación territorial con mayor número de representantes.",2025-05,2025
Carriola de Marín,"Fallece Doña MARÍA BERTA POUSA CRESPO (Vda, de Juan Trabazo), a los 66 años de edad - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9154,2025-05-29,1174,"La funerariaSAN MARCOScomunica el fallecimiento HOY día29de mayo de doñaMARÍA BERTA POUSA CRESPOcuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, deBUEU,  hasta el momento de su traslado,MAÑANA VIERNESdía30de mayo a lasCINCOde la tardea la iglesia parroquial de Ntra. Sra. Del Carmen,de Seixo(Marín) donde, a las cinco y media tendrá lugar el funeral y, a continuación, al cementerio municipal deO Campo. D.E.P.",2025-05,2025
Carriola de Marín,"El Nuevo Templo acogerá esta tarde, a las ocho, una misa por el alma de  Pascual Otero Rodríguez - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9108,2025-05-20,1173,,2025-05,2025
Carriola de Marín,Defensa anuncia un acto de Jura de Bandera para civiles a celebrar en Vigo el próximo día 23 de este mes - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9009,2025-05-03,1171,"El próximo 24 de MayoJura de Bandera para personal civil en la ciudad de Vigo. Previamente, el día 23 se celebrará un concierto a cargo de la Unidad de Música del Tercio del Norte de Infantería de Marina y un arriado solemne de bandera y durante el fin de semana se podrán visitar la fragata “Blas de Lezo” y el buque de aprovisionamiento “Cantabria”",2025-05,2025
Carriola de Marín,LA QUEJA DE HOY: desde el Callejón Areíña - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9094,2025-05-18,1156,,2025-05,2025
Carriola de Marín,"“Mi objetivo en el padel es pasarlo bien, mejorar mi salud y, si es posible, mi técnica, y disfrutar con los amigos” - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9110,2025-05-21,1153,,2025-05,2025
