source,date,link,n_comments,title,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,2025-06-01T15:02:22.267084,https://www.diariodepontevedra.es/articulo/comarcas/oleada-robos-cargo-banda-itinerante-marin-vilaboa/202412131930201333569.html,0,Oleada de robos a cargo de una banda itinerante en Marín y Vilaboa,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:02:35.537352,https://www.diariodepontevedra.es/articulo/o-morrazo/nombramiento-leonor-como-hija-adoptiva-marin-avanza-alegaciones/202412122139001333432.html,0,El nombramiento de Leonor como hija adoptiva de Marín avanza sin alegaciones,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:02:44.340637,https://www.diariodepontevedra.es/articulo/o-morrazo/intentan-robar-coche-marin-fallan-queman/202412121813441333426.html,0,"Intentan robar un coche en Marín, fallan y le prenden fuego",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:03:17.656077,https://www.diariodepontevedra.es/articulo/o-morrazo/puerto-marin-acerca-crecimiento-20-ejercicio-2024-xxxx/202412120940121333349.html,0,El Puerto de Marín se acerca al crecimiento del 20% en el ejercicio de 2024,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:04:18.992859,https://www.diariodepontevedra.es/articulo/deporte-general/confirmada-condena-hugo-mallo-abusar-sexualmente-mascota-espanyol/202412111036161333254.html,0,Confirmada la condena a Hugo Mallo por abusar sexualmente de la mascota del Espanyol,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:04:34.149635,https://www.diariodepontevedra.es/articulo/o-morrazo/concello-marin-licita-demolicion-antiguo-mercado-cantodarea/202412102052191333188.html,0,El Concello de Marín licita la demolición del antiguo Mercado de Cantodarea,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:05:15.908866,https://www.diariodepontevedra.es/articulo/o-morrazo/navidad-marin-vuelve-ser-victima-vandalismo/202412091839431333019.html,0,La Navidad de Marín vuelve a ser víctima del vandalismo,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:05:25.670330,https://www.diariodepontevedra.es/articulo/o-morrazo/cual-es-origen-baile-ciento-rosanna/202412081819191332909.html,0,El tradicional baile del Ciento,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:06:04.632844,https://www.diariodepontevedra.es/articulo/pontevedra/cara-cruz-transporte-comarca-bus-cada-media-hora-costa-dia-interior/202412081022021332719.html,0,Cara y cruz del transporte en la comarca: bus cada media hora en la costa y dos al día al interior,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:07:21.220774,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/marinense-sergio-troitino-logra-medalla-bronce-grand-prix-wuxi/202412072215011332828.html,0,El marinense Sergio Troitiño logra la medalla de bronce en el Grand Prix de Wuxi,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
