source,title,link,date,n_comments,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,Marín xa é unha vila do libro,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-xa-vila-do-libro/202505162120491391145.html,2025-05-16T21:20:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Suspendida una profesora de inglés de Marín por no saber dar clase,https://www.diariodepontevedra.es/articulo/o-morrazo/juez-avala-suspension-profesora-ingles-falta-destreza/202505161605251391075.html,2025-05-16T16:05:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"La Cafetería Mask, en Marín, se reinventa con gofres, bowls de yogurt y tortitas",https://www.diariodepontevedra.es/articulo/o-morrazo/cafeteria-mask-reinventa-gofres-bowls-yogurt-tortitas/202505161123351390901.html,2025-05-16T11:23:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Enric Bono, director de 'Marín, Vila do Libro': ""Las Letras Galegas nos parece un bautismo fantástico""",https://www.diariodepontevedra.es/articulo/o-morrazo/enric-bono-director-marin-vila-do-libro-xxxxxx/202505150838211390832.html,2025-05-15T08:38:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Las familias del Pitanxo sobre Nores y Padín: ""Cuando emiten conclusiones en su contra, intentan desacreditar""",https://www.diariodepontevedra.es/articulo/o-morrazo/familias-pitanxo-nores-padin/202505142035411390838.html,2025-05-14T20:35:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Nuria Vil, ganadora del XVIII Premio de Narración Curta del Concello de Marín",https://www.diariodepontevedra.es/articulo/o-morrazo/nuria-vilan-prado-ganadora-xviii-premio-narracion-curta-concello-marin/202505141746091390783.html,2025-05-14T17:46:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Ángela Balado dálle un bronce ao Mat's de Marín no Mundial cadete de taekwondo,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/angela-balado-dalle-bronce-mundial-ao-mats-marin/202505132150101390672.html,2025-05-13T21:50:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,El local de la punta del Paseo Alcalde Blanco de Marín seguirá siendo A Bailona,https://www.diariodepontevedra.es/articulo/o-morrazo/local-punta-paseo-alcalde-blanco-marin-seguira-siendo-bailona/202505132034391390657.html,2025-05-13T20:34:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Los responsables del Villa de Pitanxo denuncian ""irregularidades"" en la investigación de la Ciaim",https://www.diariodepontevedra.es/articulo/o-morrazo/responsables-villa-pitanxo-defienden-filtraciones-informe-ciaim/202505131441101390603.html,2025-05-13T14:41:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Manel Loureiro y Leilía serán protagonistas en el festival literario 'Marín, Vila do Libro'",https://www.diariodepontevedra.es/articulo/o-morrazo/manel-loureiro-leilia-protagonistas-marin-vila-do-libro/202505121927121390478.html,2025-05-12T19:27:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
