source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,"El PSOE denuncia la cuarta subida en el coste de las obras del auditorio que ya está en los 5,8 millones de euros - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5641,2023-09-16,1668,"Qué lejos quedaron aquellos tiempos en que el gobierno local estimaba el coste del auditorio en 2 millones de euros. Esta semana han vuelto a incrementarlo en 415.000€, y ya estamos en los 5,8 millones de euros. Y lo peor de todo, que nos tememos que no será la última subida”",2023-09,2023
Carriola de Marín,El PSOE de Marín condena los cánticos de la verbena del viernes y acepta las disculpas de ofrecidas por la orquesta - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5289,2023-07-15,1662,"A las no pocas opiniones críticas con respecto a lo ocurrido en la verbena de ayer viernes con la utilización de la frase “que te vote txapote” y a las disculpas y explicaciones dadas por la orquesta y por el propio miembros de la misma en esta misma página, se une ahora la declaración del PSOE de Marín que se reproducimos a continucaión:",2023-07,2023
Carriola de Marín,"Tras las obras de remodelación, la piscina municipal prestará un mejor servicio deportivo en sus instalaciones - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5898,2023-10-24,1639,La alcaldesa María Ramallo giró ayer visita  a la Piscina Municipal actualmente en obras para constatar la buena marcha de las obras que en ella se realizan que marchan a buen ritmo y con previsión de que serán ejecutadas en el tiempo contratado,2023-10,2023
Carriola de Marín,Que o PP non distorsione e que investigue os contratos irregulares na Festa Corsaria - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5496,2023-08-23,1639,Contamos con nomes e apelidos de varias das persoas que realizaron traballos sen contrato durante o evento” e pídelle ao PP que investigue o caso e que actúe con rigor e deixe de distorsionar,2023-08,2023
Carriola de Marín,Comunicado do PSOE de Marín no día Internacional da Muller - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6073,2023-11-25,1603,,2023-11,2023
Carriola de Marín,El PSOE lamenta la negativa del gobierno del PP para que el comercio local disponga de un punto de entrega de paquetería - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5620,2023-09-13,1593,En 2020 quisimos que el Concello de Marín ayudase al comercio local instalando una taquilla inteligente que facilitase la entrega de paquetería y productos a sus clientes durante las 24 horas del día. El gobierno de María Ramallo dijo que no y ahora vemos cómo se están instalando en múltiples concellos de la provincia. El pasotismo con nuestro comercio local es máximo,2023-09,2023
Carriola de Marín,El grupo socialista de Marín cifra el gasto del fallido concierto de Abrahan Mateo en el Carmen en más de 125.000 euros - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5424,2023-08-12,1572,En otra información que hoy ofrecemos en Carriola donde el gobierno local ofrece números de los gastos de la fiestas del Carmen pero también recibimos ayer un escrito del PSOE en el que se fija en lo que considera un gasto desmensurado correspondiente al miniconcierto de Abrahan Mateo que tuvo que interrumpir actuación a causa de la lluvia.,2023-08,2023
Carriola de Marín,El Museo Torres acogerá este mediodía la inauguración del primer festival de cine “John Balan Fest” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5500,2023-08-24,1545,"Con al acto de inauguración del “I Festival John Balan Fest” que tendrá lugar a las doce del mediodía en el Museo Torres con presencia de la alcaldesa María Ramallo y el Secretario Xeral de Emigración, Antonio Rodríguez Miranda, se pondrá en marcha el evento dirigido por Dani Antelo y que durante tres días llenará Marín del séptimo arte.",2023-08,2023
Carriola de Marín,Manuel Pazos tacha a la alcaldesa “más papista que el Papa” por advertir de la hora de cierre legal de los locales la próxima madrugada - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6248,2023-12-31,1526,"Una vez más se desató la polémica desde un sector de la hostelería que, tal como Carriola recogió en un escrito enviado por Luis Vilas hace dos días, se quejaba del señalamiento de la hora de cierre legal, en la primera madrugada del año 2024, que el concello ha hecho llegar a los locales hace unos días por medio de la Policía Local",2023-12,2023
Carriola de Marín,El BNG inicia una campaña de empadronamiento para revertir la caída demográfica en este municipio - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5760,2023-10-01,1508,"“Contigo gañamos todos: Empadrónate”, es el título de la campaña iniciada por el BNG de Marín para abordar el desafío demográfico y, los concejales que forman el grupo municipal nacionalista, muestran su agradecimiento al gobierno local por el apoyo a su iniciativa a la vez que piden al PP una mayor implicación en el tema sin limitarse a la apertura de una campaña digital",2023-10,2023
